weapon_type,weapon_type_description,firearm_make,firearm_model,firearm_barrel_length,firearm_caliber,total_number_of_shots,firearm_reloaded,number_of_cartridge_reloaded,handgun_worn_type,handgun_drawn_type,method_used_to_reload,sight_used,protective_cover_used,discharge_distance,object_struck_of_discharge,discharge_position,trr_report_id
SEMI-AUTO PISTOL,"GLOCK, INC.--AU--",,27,3.5,40 S&W,4,No,0,RIGHT SIDE (WAIST),STRONG SIDE DRAW,,false,NONE,0-5FT,PERSON,STANDING,98310
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,98316
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,98320
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,98325
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,98328
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,98350
OTHER (SPECIFY),,,,,,,,,,,,,,,,,98358
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,98359
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,98363
SEMI-AUTO PISTOL,SIG/S. I. G./SWISS INDUSTRIAL GESELLSCHAFT   --SZ--,,P226,4.4, 9 MM,2,No,0,RIGHT SIDE (WAIST),STRONG SIDE DRAW,NONE,false,NONE,05-10FT,PERSON,STANDING,98365
SEMI-AUTO PISTOL,"GLOCK, INC.--AU--",,19,4, 9 MM,9,Yes,15,RIGHT SIDE (WAIST),STRONG SIDE DRAW,TACTICAL RELOAD/MAGAZINE,false,NONE,0-5FT,OBJECT,STANDING,98373
SEMI-AUTO PISTOL,"GLOCK, INC.--AU--",,17,4.5, 9 MM,1,No,0,RIGHT SIDE (WAIST),STRONG SIDE DRAW,NONE,true,NONE,OVER 15FT,UNKNOWN,STANDING,98374
SEMI-AUTO PISTOL,"GLOCK, INC.--AU--",,17,4.5, 9 MM,5,No,,LEFT SIDE (WAIST),STRONG SIDE DRAW,,false,NONE,05-10FT,PERSON,STANDING,98376
CHEMICAL WEAPON,,,,,,,,,,,,,,,,,98418
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,98466
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,98496
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,98499
TASER (DRIVE STUN MODE),,,,,,,,,,,,,,,,,98502
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,98518
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,98524
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,98544
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,98547
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,98562
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,98566
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,98573
CHEMICAL WEAPON,,,,,,,,,,,,,,,,,98575
CHEMICAL WEAPON,,,,,,,,,,,,,,,,,98576
TASER (DRIVE STUN MODE),,,,,,,,,,,,,,,,,98584
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,98593
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,98595
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,98602
OTHER (SPECIFY),,,,,,,,,,,,,,,,,98603
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,98622
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,98623
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,98626
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,98658
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,98662
